PR	PM	T
47	31	164
47	31	164
47	31	164
47	31	164
47	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	164
48	32	156
48	32	156
48	32	156
48	32	156
48	32	156
48	32	156
48	32	156
48	32	156
48	32	156
48	33	156
48	33	144
48	33	144
49	33	144
49	33	156
49	33	156
49	34	156
49	34	144
49	34	144
50	34	144
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	34	156
50	35	156
50	35	156
51	35	144
51	35	156
51	35	156
51	36	156
51	36	144
51	36	144
52	36	144
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
52	36	156
53	37	156
53	37	156
53	37	156
53	37	156
53	37	156
53	37	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	38	156
54	39	156
54	39	144
55	39	144
55	39	144
55	39	156
55	40	156
55	40	156
55	40	144
56	40	144
56	40	144
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	40	156
56	41	156
56	41	156
56	41	144
56	41	144
57	41	144
57	41	156
57	41	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	42	156
58	43	144
58	43	144
59	43	156
59	43	156
59	43	156
59	44	164
59	44	152
59	44	152
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	44	164
60	45	152
60	45	152
60	45	152
61	45	164
61	45	164
61	45	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	46	164
62	47	164
63	47	164
63	47	164
63	47	164
63	47	164
63	47	164
63	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	48	164
64	49	164
64	49	152
64	49	152
64	49	152
64	49	152
64	49	152
64	49	152
64	50	152
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
64	50	140
